Name;Street;City;Country;Cuisine Type;Service Style;Website
2 Raum;Bethlehemstraße 2;Linz;Austria;Local;;https://www.2raum.at/
5senses;Wankmüllerhofstraße 37;Linz;Austria;Local;;https://all.accor.com/hotel/0519/index.de.shtml
Agathon;Kapuzinerstraße 46;Linz;Austria;Local;;http://www.agathon-restaurant.at/
Alte Metzgerei;Herrenstraße 5;Linz;Austria;Local;;https://www.alte-metzgerei.at/
Alte Welt;Hauptplatz 4;Linz;Austria;Local;;https://altewelt.at/
Amano;Lunaplatz 4;Linz;Austria;Local;;https://amanolinz.at/
Asteri;Werndlstraße 12;Linz;Austria;Greek;;https://www.asteri-restaurant.at/home/
Atrio;Dauphinestraße 19;Linz;Austria;Local;;https://www.atrio-restaurant.at/
Auersperg;Volksgartenstraße 1;Linz;Austria;Local;;
Baunti Sportrestaurant;Daimlerstraße 35;Linz;Austria;Local;;https://baunti-sportrestaurant.eatbu.com/?lang=de
Bergdiele;Holzheimer Straße 7;Linz;Austria;Local;Fine Dining;https://bergdiele-linz.at/
Biergartl an der Donau;Obere Donaustraße;Linz;Austria;Local;;https://www.biergartl-linz.at/
Bildungshaus St. Magdalena;Schatzweg 177;Linz;Austria;Local;;https://sanktmagdalena.at/restaurant/
Bratwurstglöckerl;Angerholzerweg 38;Linz;Austria;Local;;https://www.bratwurstgloeckerl.at/
Breitwieserhof;Brucknerstraße 38;Linz;Austria;Local;;
Bruckner's;Untere Donaulände 7;Linz;Austria;Local;;https://brucknerslinz.at/
By Preslmayer;Pfarrgasse 18;Linz;Austria;Local;;https://bypreslmayer.com/
Börserie;Schillerstraße 70;Linz;Austria;Local;;https://www.boerserie.at/
Cafe am Froschberg;Ziegeleistraße 81;Linz;Austria;Local;;https://www.cafe-froschberg.at/v07/
Café-Restaurant Panorama;Hölderlinstaße 26;Linz;Austria;Local;;https://www.abc-ooe.at/de/restaurant
Café-Restaurant in's Schörgi;Schörgenhubstraße 16;Linz;Austria;Local;;https://cafe-restaurant-schoergi-schoergenhubbad.metro.rest/?lang=de
Cantina;Pestalozzistraße 79;Linz;Austria;Local;;https://www.askoe-linz-klm.at/gastronomie
Charly's Gasthaus Union;Wimhölzelstraße 21;Linz;Austria;Local;;
Charmanter Elefant;Peter-Behrens-Platz 8;Linz;Austria;Local;;https://charmanterelefant.at/
Cop-Stop;Nietzschestraße 35;Linz;Austria;Local;;
Cubus;Ars-Electronica-Straße 1;Linz;Austria;Local;;https://www.cubus.at/
Cuisino;Langgasse 1-7;Linz;Austria;Local;;
D'Wirtschaft;Eduard-Sueß-Straße 19;Linz;Austria;Local;;https://www.dwirtschaft.at/
Das Anton;Am Volksgarten 1;Linz;Austria;Local;;https://das-anton.at/
Das Auerhahn;Freistädter Straße 228;Linz;Austria;Local;;
Das Schloss;Schlossberg 1a;Linz;Austria;Local;;https://www.schlossbrasserie.at/
Dean&david;Hauptplatz 30;Linz;Austria;Local;;https://deananddavid.com/hauptplatz-linz/
Deli Linz;Herrenstraße 7;Linz;Austria;Local;;http://www.deli-linz.at/
Die Donauwirtinnen;Webergasse 2;Linz;Austria;Local;;https://www.diedonauwirtinnen.at/
Die Offene Kantine;Hauptstraße 1-5;Linz;Austria;Local;;https://www.fab.at/de/fuer-die-wirtschaft/die-offene-kantine-neues-rathaus-linz.html
Die Wirtsleut im Leopoldistüberl;Adlergasse 6;Linz;Austria;Local;;https://stueberl.diewirtsleut.at/
Dinnerclub Le Jardin;Landstraße 12;Linz;Austria;Local;;https://www.le-jardin.at/
Dornacher Stub'n;Niedermayrweg 7;Linz;Austria;Local;;https://www.dornacher-stubn.at/
Veggiezz X Garden;Holzstraße 8;Linz;Austria;Local;;https://veggiezz.eu/x-garden/
Essig's;Niederreithstraße 35b;Linz;Austria;Local;;https://www.essigs.at/de/
Exenschläger;Kühreiterweg 70;Linz;Austria;Local;;http://www.xn--exenschlger-s8a.at/
Exx;Klammstraße 1;Linz;Austria;Local;;https://www.cafe-exx.at/
Fiakerstüberl;Leonfeldner Straße 38;Linz;Austria;Local;;https://fika-linz.eatbu.com/?lang=de
Fika;Weingartshofstraße 19;Linz;Austria;Local;;
Fisch und Grill;Leonfeldner Straße 326;Linz;Austria;Local;;https://www.fischundgrill.at/
Fischerhäusl;Flussgasse 3;Linz;Austria;Local;;https://fischerhaeusl.at/web/
Fischermandl;Landwiedstraße 69;Linz;Austria;Local;;
Game and Dine;Blumauerstraße 9;Linz;Austria;Local;;https://gamedine.at/
Ganglwirt;Alte Linzer Str. 11;Linz;Austria;Local;;https://www.derganglwirt.at/
Gasthaus Auf der Wies;Leonfeldnerstraße 156;Linz;Austria;Local;;http://www.gasthaus-auf-der-wies.at/
Gasthaus Freiseder;Freisederweg 2;Linz;Austria;Local;;https://www.freiseder.at/
Gasthaus Keferfeld;Landwiedstraße 65;Linz;Austria;Local;;http://www.gasthaus-keferfeld.at/
Gasthaus Lüftner;Klausenbachstraße 18;Linz;Austria;Local;;https://gh-lueftner.at/
Gasthaus Niederberger;Holzheim 5;Linz;Austria;Local;;https://www.niederberger-gasthaus.at/
Gasthaus Petersplatz;Freistädterstraße 297;Linz;Austria;Local;;http://www.petersplatz.at/
Gasthaus Seimayr;Steinackerweg 8;Linz;Austria;Local;;https://www.seimayr.at/
Gasthaus Stegerl;Dornacher Straße 27;Linz;Austria;Local;;
Gasthaus s' Eckerl;Unionstraße 92;Linz;Austria;Local;;http://www.gasthaus-eckerl.at/
Gasthaus zur eisernen Hand;Eisenhandstraße 43;Linz;Austria;Local;;https://www.gasthaus-eisernehand.at/start/
Gasthaus zur Ewigen Ruh;Friedhofstraße 12;Linz;Austria;Local;;
Gasthof zum Hauermandl;Oidenerstraße 98;Linz;Austria;Local;;https://www.zum-hauermandl.at/
Gasthof Rothmayr;Margarethen (Straße) 17;Linz;Austria;Local;;https://www.gasthofrothmayr.com/
Gelbes Krokodil;Dametzstraße 30;Linz;Austria;Local;;https://krokodil.at/
Genuss-Oase;Gesellenhausstraße 5;Linz;Austria;Local;;https://www.hotel-kolping.at/essen-feiern/genuss-oase.html
Glorious Bastards;Promenade 25;Linz;Austria;Local;;
Goethe Stube;Dinghoferstraße 52;Linz;Austria;Local;;http://www.goethe-stube.at/#/
Golden Pub;Jahnstraße 9;Linz;Austria;Local;;https://www.goldenpub.at/
Goldküste Südbahnhofmarkt;Marktplatz 27;Linz;Austria;Local;;https://xn--goldkste-b6a.at/
Gustavs ;Kärntnerstraße 26;Linz;Austria;Local;;https://gustavs.coffee/
Gusto;Woissauerstraße 13;Linz;Austria;Local;;
Gösser Keller;Pfarrgasse 8;Linz;Austria;Local;;https://www.goesserkeller.at/
Göttfried;Hofgasse 5;Linz;Austria;Local;;http://www.goettfried.at/
Herberstein;Altstadt 10;Linz;Austria;Local;;https://www.herberstein-linz.at/
Hofkneipe;Ludlgasse 16;Linz;Austria;Local;;https://hofkneipe.at/
Horizont;Wiener Straße 150;Linz;Austria;Local;;http://www.horizont-wifi.at/
Jack the Ripperl;Landstraße 11;Linz;Austria;Local;;https://www.jack-the-ripperl.com/
Johann's Genuss;Weissenwolffstraße 33;Linz;Austria;Local;;https://www.johanns-restaurant.at/
Josef;Landstraße 49;Linz;Austria;Local;;https://www.josef.eu/
Julia's Wohnzimmer;Linke Brückenstraße 20;Linz;Austria;Local;;https://julias-wohnzimmer.at/
Kabare;Goethestraße 35 ;Linz;Austria;Local;;https://www.kabare.at/
Keintzel;Rathausgasse 6-8;Linz;Austria;Local;;https://mobil.keintzel.at/?lang=de
Kika Restaurant;Freistädter Straße 91-93;Linz;Austria;Local;;https://www.kika.at/restaurant
Kirchenwirt am Pöstlingberg;Am Pöstlingberg 6;Linz;Austria;Local;;https://www.kirchenwirt-linz.at/
Kitchen and Bar at Courtyard;Europaplatz 2;Linz;Austria;Local;;https://kitchenandbar.at/restaurant
Restaurant Klara's Golf-Ranch;Auhirschgasse 50;Linz;Austria;Local;;https://pichling.golf-staerk.at/club/#restaurant
Kliemstein;Obere Donaulände 15;Linz;Austria;Local;;https://www.kliemstein-linz.at/
Kowalski Südbahnhofmarkt;Marktplatz 3 b/d ;Linz;Austria;Local;;https://www.cafe-kowalski.at/standorte-speisekarten/linzsuedbahnhofmarkt
Kulinario;Herrenstraße 54-56;Linz;Austria;Local;;https://www.kulinario-herrenstrasse.at/
Landhof ;Pummererstraße 4a;Linz;Austria;Local;;https://www.daslandhof.at/
LeBüsch;Graben 24;Linz;Austria;Local;;https://lebüsch.at/
Lederei;Klammstraße 6;Linz;Austria;Local;;https://www.lederei.at/
Liebhaberei;Hauptplatz 11;Linz;Austria;Local;;https://www.liebhaberei.at/
Linzer Alm;Landstraße 17-25 ;Linz;Austria;Local;;https://www.linzeralm.at/
Linzer Heuriger;Eisenbahngasse 18;Linz;Austria;Local;;https://www.linzer-heuriger.com/
Little Dancer;Graben 9;Linz;Austria;Local;;https://www.littledancer.at/
Longline;Landwiedstraße 3a;Linz;Austria;Local;;http://www.longline.co.at/
Luncherie;Hafenstraße 47-51;Linz;Austria;Local;;https://www.luncherie.at/
Löwenfeld;Wiener Straße 441;Linz;Austria;Local;;http://gasthaus-loewenfeld.at/
Make a Break;Hafferlstraße 4;Linz;Austria;Local;;https://makeabreak.at/
Manolo;Bockgasse 26-28;Linz;Austria;Local;;http://www.restaurant-manolo.at/
Mayr's Sportrestaurant;Ferdinand-Markl-Straße 2;Linz;Austria;Local;;
Moby Dick;Dornacher Straße 37;Linz;Austria;Local;;https://cafe-restaurant-mobydick-biesenfeldbad.metro.rest/?lang=de
Mundwerkstatt;Coulinstraße 1;Linz;Austria;Local;;https://www.mundwerkstatt.at/
Muto;Altstadt 7;Linz;Austria;Local;;https://www.mutolinz.at/
Nuba;Mozartstraße 7;Linz;Austria;Local;;https://www.nuba.at/
Pro Restaurant;Lindengasse 16;Linz;Austria;Local;;
Pastrami;Marktplatz 16;Linz;Austria;Local;;
Paul's;Herrenstraße 36;Linz;Austria;Local;;https://www.pauls-linz.at/
Pfefferspiel;Rainerstraße 2-4;Linz;Austria;Local;;
Pianino;Landstraße 13;Linz;Austria;Local;;https://www.pianino.at/
Poschacherstüberl;Wiener Straße 95;Linz;Austria;Local;;http://www.poschacherstueberl.at/
Posthofbeisl;Posthofstraße 43;Linz;Austria;Local;;http://www.posthofbeisl.at/
Promenadenhof;Promenade 39;Linz;Austria;Local;;https://promenadenhof.at/
Pöstlingberg-Schlössl;Am Pöstlingberg 14;Linz;Austria;Local;;https://poestlingberg.at/
Radius;Altstadt 6;Linz;Austria;Local;;https://radius-linz.at/
Rauchkuchl;Holzstraße 18;Linz;Austria;Mediterranian;;https://www.restaurant-rauchkuchl.at/
Rauner;Kraußstraße 16;Linz;Austria;Local;;https://www.rauner.restaurant/
Donauwelle;Am Winterhafen 13;Linz;Austria;Local;;https://linz.twhotels.at/de/kulinarik/restaurant/
Edelweiß;Flötzerweg 107a;Linz;Austria;Local;;
Jägermayrhof;Römerstraße 98;Linz;Austria;Local;;
Kolmer;Untere Donaulände 11;Linz;Austria;Local;;http://www.restaurant-kolmer.at/
Kontrast;Südtirolerstraße 31;Linz;Austria;Local;;https://kontrast.jimdofree.com/restaurant/
Lentos;Ernst-Koref-Promenade 1;Linz;Austria;Local;;https://www.lentos-gastro.net/
Stadt München;Teutschmannweg 1;Linz;Austria;Local;;
Stradivari;Hamoderstraße 2;Linz;Austria;Local;;
Tafelspitz;Rainerstraße 2 ;Linz;Austria;Local;;https://www.austria-trend.at/de/hotels/schillerpark/restaurant-bars
Volkshaus Ebelsberg;Kremsmünsterer Straße 1-3;Linz;Austria;Local;;
Robertos-Donauplex;Industriezeile 36;Linz;Austria;Local;;https://www.robertos-donauplex.at/
Rosi's;Klammstraße 1;Linz;Austria;Local;;http://www.rosis-linz.at/
Rossbarth;Klammstraße 7;Linz;Austria;Local;;
Rox;Graben 18;Linz;Austria;Local;;https://rox-linz.at/
S'Wirtshaus z'Pichling;Pichlinger Straße 50;Linz;Austria;Local;;https://www.wirtshaus-pichling.at/
Salzburger Stüberl;Gürtelstraße 31;Linz;Austria;Local;;
Schalkos;Pummererstraße 10;Linz;Austria;Local;;
Schloss Cafe;Schlossberg 1;Linz;Austria;Local;;https://schlosscafe-linz-restaurant.eatbu.com/?lang=de
Schlägler Stüberl;Franckstraße 28;Linz;Austria;Local;;
Schweindalwirt am Donauplatz;Pestalozzistraße 92;Linz;Austria;Local;;https://www.schweindalwirt-donauplatz.at/
Seerestaurant Pichlinger See;Wiener Straße 937;Linz;Austria;Local;;
Seidlgartl;Merianweg 53;Linz;Austria;Local;;
Skygarden;Landstraße 17-25;Linz;Austria;Local;;https://www.skygarden.at/
Spallerhofdiele;Glimpfingerstrasse 94a;Linz;Austria;Local;;https://www.wirtschaft-spallerhofdiele.at/
Square;Hessenplatz 16-18;Linz;Austria;Local;;https://www.radissonhotels.com/de-de/hotels/park-inn-linz
Stadtliebe;Landstraße 31;Linz;Austria;Local;;https://www.stadtliebe.at/
Stefan Stubm;Garnisonstraße 30;Linz;Austria;Local;;https://www.stubm.at/
Stellwerk;Bahnhofplatz 3-6;Linz;Austria;Local;;http://www.bistro-stellwerk.at/
Tramway im Stockhof;Stockhofstraße 27;Linz;Austria;Local;;https://gasthaus-tramway.jimdofree.com/
Uferei;Untere Donaulände 9;Linz;Austria;Local;;https://uferei.at/
Urbanides;Rudolfstraße 11;Linz;Austria;Local;;https://www.urbanides.at/
Verdi;Pachmayrstraße 137;Linz;Austria;Local;;https://verdi.at/
Walker;Hauptplatz 21;Linz;Austria;Local;;https://www.walker-bar.at/
Weinstadl Urfahr;Griesmayrstraße 18;Linz;Austria;Local;;https://www.weinstadl-urfahr.at/
Wia z'Haus Lehner;Harbacherstraße 38;Linz;Austria;Local;;https://www.wiazhaus-lehner.at/
Wirtshaus zur Makart-Stubn;Makartstraße 11;Linz;Austria;Local;;https://www.makartstubn.at/
Zauners Goldener Adler;Hauptstraße 56;Linz;Austria;Local;;https://www.zauners-goldener-adler.at/
Zeppelin Stüberl;Wimhölzelstraße 4;Linz;Austria;Local;;
Akakiko;Landstraße 17;Linz;Austria;Asian;;https://akakiko.at/lokale/linz
Café Schadzi;Mozartstraße 10;Linz;Austria;Vegetarian;;https://schadzi.at/
front food;Pfarrgasse 20;Linz;Austria;Vegetarian;;https://frontfood.at/
Fu-Cheng Noodlehouse;Untere Donaulände 16a;Linz;Austria;Chinese;;https://www.fucheng.at/
Divino;Domgasse 20;Linz;Austria;Spanish;;http://www.divino.at/
Goscinna Chata;Hafenstraße 4;Linz;Austria;Polish;;https://www.goscinna-chata.at/
Alte Brücke Mostar;Dauphinestraße 224;Linz;Austria;Mediterranian;;https://www.altebrueckemostar.at/
Antebia;Magazingasse 11;Linz;Austria;Mediterranian;;https://www.antebia.at/
Bella Casa;Aubrunnerweg 1a;Linz;Austria;Mediterranian;;https://bella-casa.at/
La Profesor;Wiener Straße 41a;Linz;Austria;Mediterranian;;
Mediterran;Rosenauerstraße 19;Linz;Austria;Mediterranian;;http://www.mediterran-linz.at/
Mondigo;Wiener Straße 157;Linz;Austria;Mediterranian;;https://www.mondigo.co.at/
Pesce and Pasta;Industriezeile 76;Linz;Austria;Mediterranian;;
Oase;Julius Raab Straße 6-8;Linz;Austria;Mediterranian;;
Spezialitäten Aus Dem Balkan;Wiener Straße 6;Linz;Austria;Mediterranian;;https://www.spezialitaetenausbalkan-linz.at/
Trevi;Gesellenhausstraße 5;Linz;Austria;Mediterranian;;
Cafeteria Frédéric;Hauptplatz 6;Linz;Austria;French;;http://www.bistro-frederic.at/cafeteria-kunstuniversitaet-linz/
Coco;Herrenstraße 23;Linz;Austria;French;;https://www.coco-linz.at/
Aris;Mariahilfgasse 40;Linz;Austria;Greek;;https://aris-linz.at/
Athene;Leonfeldnerstraße 250;Linz;Austria;Greek;;https://athene-linz.at/
Ciao Jassu;Prinz-Eugen-Straße 22;Linz;Austria;Greek;;https://ciaoundjassu.at/
Da Vinci;Schillerstraße 2;Linz;Austria;Mediterranian;;https://www.davinci-ristorante.at/
El Greco;Hauptplatz 15-16;Linz;Austria;Greek;;https://www.elgreco.at/
La Dolce Pizzeria;Auwiesenstraße 202;Linz;Austria;Mediterranian;;https://www.la-dolce.at/
Orpheus;Dametzstraße 23;Linz;Austria;Greek;;http://www.orpheus-linz.eu/
Taverne Sorbas;Neutorgasse 3;Linz;Austria;Greek;;https://tavernesorbas.stadtausstellung.at/
The Garage Linz;Hamerlingstraße 42;Linz;Austria;Fusion;;http://www.thegaragelinz.at/
Zum kleinen Griechen;"	Hofberg 8";Linz;Austria;Greek;;https://www.zumkleinengriechen.at/
Antica Locanda;Mariahilfgasse 1;Linz;Austria;Italian;;https://www.antica-locanda.at/
Benaco;Freistädter Straße 400;Linz;Austria;Italian;;https://www.benaco-linz.com/
Bigoli;Dametzstraße 38;Linz;Austria;Italian;;https://www.bigoli.at/
Casa Corrado;Hauptstraße 1-5;Linz;Austria;Italian;;https://www.casa-corrado.at/
Casa Italiana;Johann-Konrad-Vogel-Straße 7-9;Linz;Austria;Italian;;
Da Luca;Werndlstraße 21;Linz;Austria;Italian;;
Da Giulio;Wiener Straße 485;Linz;Austria;Italian;;https://www.dagiulio.at/
Dies und Das;Neubauzeile 65;Linz;Austria;Local;;https://www.dies-und-das-linz.at/
Ecco;Landstraße 24;Linz;Austria;Fusion;;https://www.ecco-linz.at/
El Paso;OK-Platz 1a;Linz;Austria;Mexican;;https://elpaso-linz.at/11601
Gabriellas Trattoria;Raffelstettner Straße 30;Linz;Austria;Italian;;https://www.gabriellas.at/
Il Caminetto;Hessenplatz 19;Linz;Austria;Italian;;https://www.ilcaminetto.at/
Il Teatro;Hamerlingstraße 45;Linz;Austria;Italian;;https://www.ilteatro.at/
L'Osteria;Promenade 22;Linz;Austria;Italian;;https://losteria.net/at/restaurants/
La Ruffa Linz-Oed;Europastraße 9;Linz;Austria;Italian;;https://www.ristorante-laruffa.at/linz-oed
La Ruffa Linz-Spallerhof;Einsteinstraße 5;Linz;Austria;Italian;;https://www.ristorante-laruffa.at/linz-spallerhof
Monte Verde;Hauptstraße 63;Linz;Austria;Italian;;https://www.monteverde.at/
Osteria Il Pescatore;Museumstraße 36;Linz;Austria;Italian;;https://ilpescatore-linz.business.site/
Pizza Milano;Prinz-Eugen Straße 5;Linz;Austria;Italian;;https://pizza-milano.at/
Pizza Mir;Museumstraße 19;Linz;Austria;Italian;;http://www.pizzamir.at/order.aspx?mandant=pizzamir
Pizza Solo;Füchselstraße 14;Linz;Austria;Italian;;
Pizza Valentinos;Franckstraße 33;Linz;Austria;Italian;;
Pizzeria Buon Appetito;Freistädter Straße 47;Linz;Austria;Italian;;https://www.holzofenpizzeria-bon-appetito.at/
Pizzeria David;Welser Straße 43;Linz;Austria;Italian;;
Pizzeria David;Wildbergstraße 6;Linz;Austria;Italian;;
Pizzeria Donatello;Rudigierstraße 8;Linz;Austria;Italian;;https://donatello.business.site/
Pizzeria Fabio;Schwaigaustrasse 2a;Linz;Austria;Italian;;
Pizzeria Fortuna;Bockgasse 61;Linz;Austria;Italian;;http://www.fortuna-pizzeria.at/
Pizzeria Gonzales;Unionstraße 102/2;Linz;Austria;Italian;;https://pizzeriagonzales-linz.at/13314
Pizzeria Palermo;Dinghoferstraße 60-62;Linz;Austria;Italian;;https://www.pizzeria-palermo-linz-linz.at/
Pizzeria Trattoria Fratelli;Wurmstraße 20;Linz;Austria;Italian;;https://pizzeria-trattoria-fratelli.metro.rest/?lang=de
Pizzeria Zum Mafiosi;Garnisonstraße 13b;Linz;Austria;Italian;;https://www.pizzeria-zum-mafiosi-linz.at/
Leonardo;Lunaplatz 9a;Linz;Austria;Italian;;http://www.pizza-leonardo.co.at/index.html
La Ruffa ;Michaelsbergstraße 39;Linz;Austria;Italian;;https://www.ristorante-laruffa.at/leonding/
La Ruffa ;Verlängerte Kirchengasse 15;Linz;Austria;Italian;;https://www.ristorante-laruffa.at/urfahr/
Riva;Hauptplatz 13;Linz;Austria;Italian;;https://www.riva-linz.com/
Rosso di Acqua e Sole;Weingartshofstraße 29;Linz;Austria;Italian;;https://www.restaurantrosso.at/
Surace Cucina Linz;Coulinstraße 13;Linz;Austria;Italian;;https://www.surace.at/surace-cucina
Trattoria Scollo;Knabenseminarstraße 6;Linz;Austria;Italian;;https://trattoria-scollo.webnode.page/
Uni Pizza;Johann-Wilhelm-Klein-Straße 53;Linz;Austria;Italian;;
Va Bene;Prinz-Eugen-Straße 22;Linz;Austria;Italian;;https://va-bene.at/
Vapiano;Hauptplatz 27 ;Linz;Austria;Italian;;
La Madrina;Hafferlstraße 5;Linz;Austria;Spanish;;https://www.lamadrina.at/
Cook;Klammstraße 1;Linz;Austria;Fusion;;https://www.cook.co.at/
Tamu Sana;Kirchengasse 6;Linz;Austria;African;;https://www.tamusana.at/
Hanoi Royal;Obere Donaulände 11;Linz;Austria;Vietnamese;;http://hanoi.at/royal
Dos Muchachos;Adlergasse 14;Linz;Austria;Mexican;;
Steakhouse;Untere Donaulände 12;Linz;Austria;USA;;https://steakhouse.co.at/
Ängus Downtown;Pfarrplatz 13;Linz;Austria;USA;;https://ängus.at
Asahii;Freistädter Straße 31;Linz;Austria;Asian;;https://www.asahii-linz.at/contact
Asia-Wok China Court;Landwiedstraße 43;Linz;Austria;Chinese;;https://www.chinacourt.at/
China-Palast;Brucknerstraße 28;Linz;Austria;Chinese;;https://www.chinapalast.at/
Dao;Klammstraße 20a;Linz;Austria;Asian;;
Don;Graben 32a;Linz;Austria;Asian;;http://www.don-am-graben.at/
Ebisu;Peuerbachstraße 2;Linz;Austria;Asian;;https://ebisu.at/
Kim San;Hauptplatz 4;Linz;Austria;Asian;;https://www.chinarestaurantkimsan-linz.at/
Kung Fu;Landstraße 71-75;Linz;Austria;Asian;;https://www.kungfulinz.at/
Liu's Asia Küche;Landstraße 17-25;Linz;Austria;Asian;;https://www.liusasiakueche.at/
Mee Noodles;Mozartstraße 7;Linz;Austria;Asian;;https://www.meenoodles.at/
Miyako;Altstadt 28;Linz;Austria;Japanese;;https://miyako-ramen.at/
Mr. Ji;Gruberstraße 19-21;Linz;Austria;Asian;;
New Asia;Bernaschekplatz 9;Linz;Austria;Asian;;https://newasia.metro.rest/
Ost18 Asia Restaurant;Freistädter Straße 315;Linz;Austria;Asian;;https://www.asiarestaurant-ost18.at/
Panda Wok;Pfarrplatz 11;Linz;Austria;Chinese;;https://www.pandawok.at/
Sarang;Anastasius-Grün-Straße 1;Linz;Austria;Asian;;https://www.sarang-linz.at/
Superpanda;Wiener Straße 4;Linz;Austria;Asian;;
Tokyo Running Sushi;Landstraße 66;Linz;Austria;Asian;;https://www.tokyorunningsushirestaurant-linz.at/
Wok and More;Hamoderstraße 6a;Linz;Austria;Asian;;https://www.wok-more.at/
Wokman;Graben 34;Linz;Austria;Asian;;
Xu;Mozartstraße 7;Linz;Austria;Asian;;https://www.xu-wok.at/
Chinagarten;Flötzerweg 10;Linz;Austria;Chinese;;https://www.china-gartenrestaurant.at/
Glücksgarten;Flötzerweg 127;Linz;Austria;Asian;;https://chinarestaurant-gluecksgarten-linz.business.site/
Tai-Yang;Pritzstraße 10;Linz;Austria;Chinese;;https://www.chinarestaurant-taiyang.at/
Chinoiss;Rainerstraße 20;Linz;Austria;Asian;;https://www.chinoiss.at/
Goldene Pagode;Adalbert-Stifter-Platz 2;Linz;Austria;Asian;;https://www.goldenepagode.at/
Jadegarten;Aubrunnerweg 11;Linz;Austria;Asian;;https://www.china-restaurantjadegarten.at/
Szechuan Impression;Rathausgasse 1;Linz;Austria;Chinese;;https://www.szechuan-impression.at/
Aroma Indische Küche;Salzburger Straße 301;Linz;Austria;Indian;;https://www.lieferando.at/speisekarte/aroma-indian-restaurant
Bombay Palace;Goethestraße 34;Linz;Austria;Indian;;https://www.bombaypalace.at/
Indian Dhaba;Mühlkreisbahnstraße 4;Linz;Austria;Indian;;
New Namastey India;Volksgartenstr 19;Linz;Austria;Indian;;https://www.new-namastey.at/
Zaffran;Domgasse 6;Linz;Austria;Indian;;http://www.zaffran-linz.smarto.net/
Ichi go ichi e;Landstraße 12;Linz;Austria;Japanese;;https://linzerie.at/shop/ichi-go-ichi-e/
Izakaya;Klammstraße 6;Linz;Austria;Japanese;;https://www.izakaya.eu/
Mongole BBQ Lentia City;Hauptstraße 54;Linz;Austria;Mongolian;;https://www.lentiacity.at/mongole-bbq/
Aroy Thai;Peter-Behrens-Platz 3-4;Linz;Austria;Thai;;
Bangkok Smile;Waltherstraße 11;Linz;Austria;Thai;;
Coconut;Marienstraße 11;Linz;Austria;Thai;;
Maleewan;Sophiengutstraße 1;Linz;Austria;Thai;;
Grüne Papaya;Altenberger Straße 70;Linz;Austria;Asian;;https://www.gruenepapaya.at/
Thaihaus Som;Mühlkreisbahnstrasse 4-6;Linz;Austria;Thai;;https://www.thai-haus-som-linz.at/
Thaimarkt Linz;Wiener Straße 13;Linz;Austria;Thai;;http://www.thaimarkt.at/
Tom Yam;Johann-Konrad-Vogel-Straße 11;Linz;Austria;Thai;;https://tomyam.at/
Ben Thanh Kitchen;Lunaplatz 7;Linz;Austria;Vietnamese;;
Lily's Vietnam Kitchen;Alter Markt 1;Linz;Austria;Vietnamese;;http://www.lily-kitchen.at/
Little Saigon;Gruberstraße 82;Linz;Austria;Vietnamese;;
Pho Hanoi;Freistädter Straße 60;Linz;Austria;Vietnamese;;
Thany Vietnam;Gürtelstraße 30;Linz;Austria;Vietnamese;;https://www.thanyvietnamrestaurant.com/
Ayam Zaman;Landstraße 32;Linz;Austria;Arabic;;